"Page","ชื่อสามัญ/ชื่อการค้า","ข้อบ่งใช้","Dose ผู้ใหญ่","Dose เด็ก","Dose ปรับตามตับ/ไต","ข้อห้ามใช้/ควรระวัง"
"1","Chlorpheniramine","ยาลดน้ำมูก antihistamine เหมาะกับลดน้ำมูกที่ ใสและเหลว","Immediate release: Oral: 4 mg every 4 to 6 hours; do not exceed 24 mg/24 hours. Extended release: Oral: 12 mg every 12 hours; do not exceed 24 mg/24 hours.","[hay fever]: Immediate release: Oral syrup (eg, Ed Chlorped Jr): 2 mg chlorpheniramine per 5 mL: Children 2 to <6 years: Limited data available: Oral: 1 mg every 4 to 6 hours; maximum daily dose: 6 mg/day (Ref). Children 6 to <12 years: Oral: 2 mg every 4 to 6 hours; maximum daily dose: 12 mg/day. Children ≥12 years and Adolescents: Oral: 4 mg every 4 to 6 hours; maximum daily dose: 24 mg/day.","Altered kidney function: • eGFR >30 mL/minute/1.73 m2: No dosage adjustment necessary • eGFR ≤30 mL/minute/1.73 m2: use with caution Dosing: Liver Impairment: Adult no dosage adjustments","Contraindications do not use to make a child sleep. Avoid use in patients with high-risk occupations (eg, pilots, bus drivers) or who may be more prone to anticholinergic effects (eg, older adults) Warnings/Precautio ns • CNS depression: • Pediatric: Antihistamines may cause excitation in young children. Other warnings/precautio ns: • notify health care provider prior to use if you have breathing problems (eg, chronic bronchitis, emphysema), glaucoma, difficultly in urination due to enlargement of the prostate gland, or are currently taking sedatives, tranquilizers. Warnings: Additional Pediatric Considerations Safety and efficacy for the use of cough and cold products in pediatric patients <4 years of age is limited; the AAP warns against the use of these products for respiratory illnesses in young children. Serious adverse effects including death have been reported. The FDA does not recommend OTC uses for these products in pediatric patients <2 years of age and recommends to use with caution in pediatric patients ≥2 years of age."
"1","Brompheniramine","ยาลดน้ำมูก antihistamine เหมาะกับลดน้ำมูกที่ ใสและเหลว","ขนาด บรอมเฟนิรามีน สำหรับผู้ใหญ่ อาการของโรคหวัด • ยาออกฤทธิ์ทันที 4 มก. ถึง 8 มก. รับประทานทุกๆ 6 ชั่วโมงเท่าที่จำเป็น ขนาดยาสำหรับ รับประทานสูงสุด 24 มก.ต่อวัน https://hellokhunmor. com/ยาและอาหารเสริม /บรอมเฟนิรามีน- brompheniramine/","Usual Pediatric Dose for Cold Symptoms • 6 to less than 12 years: Maintenance dose: 10 mL orally every 4 hours Maximum dose: 6 doses orally in 24 hours • 12 years and older: Maintenance dose: 20 mL orally every 4 hours Maximum dose: 6 doses or","Renal Dose Adjustments Data not available Liver Dose Adjustments Data not available","Precautions Safety and efficacy have not been established in patients younger than 6 years. Do not use cold or allergy medicine to make a child sleepy. You should not use brompheniramine if you are allergic to it, or if you have: • hypertension • clogged arteries • a stomach ulcer • narrow-angle glaucoma • if you are unable to urinate or an enlarged prostate (BPH) • asthma attack. Do not use brompheniramine if you have used an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, tranylcypromine, and others."
"2","Diphenhydramine","ยาลดน้ำมูก antihistamine","Common cold symptoms (eg, rhinitis, rhinorrhea, sneezing) or upper airway cough syndrome: Oral: 25 mg every 4 to 6 hours or 50 mg every 6 to 8 hours as needed (used in combination with a decongestant)","Allergic rhinitis/rhinoconjun ctivitis (hay fever): • Children 2 to <6 years: Limited data available: Oral: 6.25 mg every 4 to 8 hours as needed • Children ≥6 to <12 years: Oral: 12.5 to 25 mg every 4 to 8 hours as needed • Children ≥12 years and Adolescents: Oral: 25 to 50 mg every 4 to 8 hours as needed Weight-directed dosing: Infants ≥9 kg, Children, and Adolescents: Oral: 5 mg/kg/day in equally divided doses every 6 to 8 hours; age-related maximum single doses: <6 years: 6.25 mg/dose; 6 to 11 years: 25 mg/dose; ≥12 years: 50 mg/dose","Altered kidney function: IM, IV, Oral: No dosage adjustment Liver impairment Child-Turcotte-Pugh class A to C: IM, IV, Oral: No dosage adjustment","Contraindications do not use in children <6 years, to make a child sleep Warnings/Precautio ns • CNS depression: patients must be cautioned (eg, operating machinery or driving). Disease-related concerns: • Asthma: • Cardiovascular disease (hypertension and ischemic heart disease). • Increased intraocular pressure/glaucoma: Use with caution in patients angle-closure glaucoma. • Prostatic hyperplasia/urinary obstruction: bladder neck obstruction, and/or GU obstruction. • Pyloroduodenal obstruction: • Thyroid dysfunction Special populations • Pediatric: Antihistamines may cause excitation in young children. Toxicity (overdose) may result in hallucinations, convulsions, or death; use is contraindicated in neonates and premature infants."
"3","Cyproheptadine","ยาลดน้ำมูก antihistamine","Allergic conditions: Oral : Initial: 4 mg three times daily; maintenance: 4 to 20 mg/day in divided doses; maximum: 0.5 mg/kg/day; some patients may require up to 32 mg/day for adequate control of symptoms. Dosing: Older Adult Avoid use","Allergic conditions (nonacute): Weight-directed or BSA-directed dosing: Children ≥2 years and Adolescents: Oral: 0.25 mg/kg/day or 8 mg/m2/day in 2 to 3 divided doses. Fixed dosing: • Children 2 to <7 years: Oral: 2 mg every 8 to 12 hours; maximum daily dose: 12 mg/day. • Children ≥7 years and Adolescents <15 years: Oral: 4 mg every 8 to 12 hours; maximum daily dose: 16 mg/day. • Adolescents ≥15 years: Initial: Oral: 4 mg every 8 hours; titrate to effect; usual range: 12 to 16 mg/day although some patients may require up to 32 mg; maximum daily dose: 0.5 mg/kg/day.","Dosing: Kidney Impairment: Adult There are no dosage adjustments Dosing: Liver Impairment: Adult There are no dosage adjustments","Avoid use of cyproheptadine in patients with high-risk occupations (eg, pilots, bus drivers) or who may be more prone to anticholinergic effects (eg, older adults)"
"3","Hydroxyzine","มักใช้ลดคันในผื่น ไม่ค่อยใช้ลดน้ำมูก","Pruritus: •Oral : 25 mg 3 to 4 times daily as needed. • Nightly dosing: Oral: Due to its sedating properties, some experts recommend 25 to 50 mg once daily as needed at bedtime.","Pruritus; associated with allergic conditions or chronic urticaria: Age-directed dosing: • Children <6 years: Oral: 12.5 mg 3 to 4 times daily • Children ≥6 years and Adolescents: Oral: 12.5 to 25 mg 3 to 4 times daily Weight-directed dosing: Children and Adolescents: • Patient weight ≤40 kg: Oral: 2 mg/kg/day divided every 6 to 8 hours as needed; maximum dose: 25 mg/dose. • Patient weight >40 kg: Oral: 25 to 50 mg once daily at bedtime or twice daily","Altered kidney function: Oral, IM: • CrCl ≥50 mL/minute: No dosage adjustment • CrCl 10 to <50 mL/minute: Administer ~50% of usual dose • CrCl <10 mL/minute: Administer ~25% to 50% of usual dose Liver impairment liver cirrhosis: Child-Turcotte-Pugh class A to C: IM, Oral: Use minimum effective dose, not to exceed a total maximum daily dose of 25 mg/day","Contraindications Hypersensitivity to hydroxyzine ; early pregnancy; prolonged QT interval. Additional contraindications: Oral: Hypersensitivity to cetirizine or levocetirizine. Warnings/Precautio ns Disease-related concerns: • narrow-angle glaucoma • Prostatic hyperplasia/urinary stricture • asthma or chronic obstructive pulmonary disease (COPD). Special populations: Older adult: May cause over sedation in older adults; avoid use."
"4","Cetirizine","ยาลดน้ำมูก antihistamine .","Allergic rhinitis or conjunctivitis: Oral: 10 mg once daily; alternatively, may be given as needed 2 to 5 hours before exposure to allergen, (less effective) hay fever or other upper respiratory allergies): 5 to 10 mg once daily (maximum: 10 mg/day). Dosing: Older Adult Upper respiratory allergies, urticaria: Oral: 5 mg once daily (maximum dose: 5 mg daily).","Allergic rhinitis or conjunctivitis or rhinoconjunctivitis (hay fever): • Infants ≥6 months: Oral: 2.5 mg once daily. • Children <2 years: Oral: Initial: 2.5 mg once daily; dosage may be increased to 2.5 mg twice daily. • Children 2 to <6 years: Oral: 2.5 to 5 mg once daily (Ref); may also administer as 2.5 mg twice daily • Children ≥6 years and Adolescents: Oral: 5 to 10 mg once daily.","Altered kidney function: Oral: • CrCl >31 mL/minute: No dosage adjustment • CrCl 11 to ≤31 mL/minute: 5 mg once daily. • CrCl ≤10 mL/minute: 5 mg once every 48 hours; may increase to 5 mg once daily Liver impairment Child-Turcotte-Pugh class A to C: Oral: 5 mg once daily","Contraindications Hypersensitivity to cetirizine, hydroxyzine, levocetirizine Warnings/Precautio ns • Rebound pruritus has been reported within several days after stopping cetirizine, usually after long-term (eg, months to years) use. Disease-related concerns: • Hepatic impairment: • Renal impairment: • Sedatives: Effects may be potentiated when used with other sedative drugs or ethanol. Special populations: • Older adult: Use with caution; more sensitive to adverse effects."
"4","Loratadine","ยาลดน้ำมูก antihistamine","Allergic rhinitis or conjunctivitis: Oral: 10 mg once daily or 5 mg twice daily. OTC labeling (hay fever or other upper respiratory allergies): Oral: 10 mg once daily or 5 mg twice daily; maximum dose: 10 mg/day. Dosing: Older Adult Refer to adult dosing.","Allergic symptoms, hay fever: • Children ≥2 to <6 years: Oral: 5 mg once daily. • Children ≥6 years and Adolescents: 5 mg twice daily or 10 mg once daily.","Altered kidney function: Oral: • CrCl ≥30 mL/minute: No dosage adjustment • CrCl <30 mL/minute: 10 mg every 48 hours Dosing: Liver Impairment: Adult No dosage adjustment","Warnings/Precautio ns Disease-related concerns: • Hepatic impairment: • Renal impairment: • Sedatives: Effects may be potentiated when used with other sedative drugs or ethanol. Warnings: Additional Pediatric Considerations Safety and efficacy for the use of cough and cold products in pediatric patients <4 years of age is limited; the AAP warns against the use of these products for respiratory illnesses in young children. Serious adverse effects including death have been reported. The FDA does not recommend OTC uses for these products in pediatric patients <2 years of age and recommends to use with caution in pediatric patients ≥2 years of age."
"4","Fexofenadine","ยาลดน้ำมูก antihistamine","Upper respiratory allergies: Twice-daily formulations: Oral: 60 mg every 12 hours (maximum: 120 mg/day). Once-daily formulations: Oral: 180 mg once daily (maximum: 180 mg/day). Administration: Adult • Oral suspension, tablet: Administer with water only; do not administer with fruit juices. Shake suspension well before use. Use suspension only with enclosed dosing cup. Dosing: Older Adult Refer to adult dosing.","Allergic symptoms/rhinitis: Twice-daily formulations (eg, oral suspension, regular tablet): Oral suspension: -Infants ≥6 months and Children <2 years: Limited data available : • <10.5 kg: Oral: 15 mg every 12 hours. • ≥10.5 kg: Oral: 30 mg every 12 hours. - Children ≥2 to <12 years: Oral: 30 mg every 12 hours; maximum daily dose: 60 mg/day. - Children ≥12 years and Adolescents: Oral: 60 mg every 12 hours; maximum daily dose: 120 mg/day. 12-hour tablet: Children ≥12 years and Adolescents: Oral: 60 mg every 12 hours; maximum daily dose: 120 mg/day. Once-daily formulation: Children ≥12 years and Adolescents: Oral: 180 mg once daily. Administration: Pediatric • Suspension, regular tablet: May administer without respect to food. Take with water; avoid administration with fruit juices; shake suspension well before use ; do not use a household teaspoon.","Note : Use of the once-daily formulation is not recommended in patients with eGFR <50 mL/minute/1.73 m2 or on renal replacement therapies Altered kidney function : • eGFR ≥50 mL/minute/1.73 m2: Oral: No dosage adjustment necessary. • eGFR 10 to <50 mL/minute/1.73 m2: Oral: 60 mg every 12 to 24 hours. • eGFR <10 mL/minute/1.73 m2: Oral: 60 mg every 24 hours. Dosing: Liver Impairment: Adult no dosage adjustments","Warnings/Precautio ns Disease-related concerns: • Renal impairment warnings/precautio ns: • do not exceed recommended dosage or administer at the same time with aluminum or magnesium antacids or with fruit juices. Warnings: Additional Pediatric Considerations Safety and efficacy for the use of cough and cold products in pediatric patients <4 years of age is limited; the AAP warns against the use of these products for respiratory illnesses in young children. Serious adverse effects including death have been reported. The FDA does not recommend OTC uses for these products in pediatric patients <2 years of age and recommends to use with caution in pediatric patients ≥2 years of age."
"5","Levocetirizine","ยาลดน้ำมูก antihistamine","Allergic rhinitis (OTC only): Oral: 5 mg once daily (in the evening); some patients with less severe symptoms may experience relief with 2.5 mg once daily; maximum dose: 5 mg/day. Dosing: Older Adult Refer to adult dosing; dosing should begin at the lower end of the dosing range.","Allergic rhinitis, perennial: • Infants ≥6 months and Children ≤5 years: Oral: 1.25 mg once daily (in the evening). • Children 6 to 11 years: Oral: 2.5 mg once daily (in the evening). • Children ≥12 years and Adolescents: Oral: 5 mg once daily (in the evening); some patients may experience relief of symptoms with 2.5 mg once daily. Hay fever and other respiratory allergies: • Children 2 to 5 years: Oral: 1.25 mg once daily (in the evening). • Children 6 to 11 years: Oral: 2.5 mg once daily (in the evening). • Children ≥12 years and Adolescents: Oral: 2.5 to 5 mg once daily (in the evening); dose based on symptom severity","Dosing: Kidney Impairment: Adult • CrCl >80 mL/minute: No dosage adjustment necessary. • CrCl 50 to 80 mL/minute: 2.5 mg once daily. • CrCl 30 to 50 mL/minute: 2.5 mg once every other day. • CrCl 10 to 30 mL/minute: 2.5 mg twice weekly (every 3 or 4 days). • CrCl <10 mL/minute: Use is contraindicated. Dosing: Liver Impairment: Adult No dosage adjustment.","Contraindications hypersensitivity to levocetirizine, cetirizine ; end-stage renal disease (CrCl <10 mL/minute); hemodialysis; infants and children 6 months to 11 years of age with renal impairment Warnings/Precautio ns • CNS depression: must be cautioned (eg, operating machinery or driving). • Pruritus: within several days after stopping levocetirizine, usually after long-term (eg, months to years) • Renal impairment: • Urinary retention: discontinue if urinary retention occurs. Special populations: • Older adult: Use with caution in older adults."
"6","Desloratadine","ยาลดน้ำมูก antihistamine .","Allergic rhinitis, perennial or seasonal: Oral: 5 mg once daily. Dosing: Older Adult Refer to adult dosing.","Allergic rhinitis, perennial: • Infants 6 to ≤11 months: Oral: 1 mg once daily. • Children ≤5 years: Oral: 1.25 mg once daily. • Children 6 to ≤11 years: Oral: 2.5 mg once daily. • Children ≥12 years and Adolescents: Oral: 5 mg once daily. Allergic rhinitis, seasonal: • Children 2 to ≤5 years: Oral: 1.25 mg once daily. • Children 6 to ≤11 years: Oral: 2.5 mg once daily. • Children ≥12 years and Adolescents: Oral: 5 mg once daily.","Dosing: Kidney Impairment: Adult Moderate to severe impairment: No dosage adjustment ; use with caution in severe impairment. Dosing: Liver Impairment: Adult No dosage adjustment","Warnings/Precautio ns •Hypersensitivity reactions (anaphylaxis); discontinue therapy immediately • Hepatic impairment • Renal impairment • Sedatives: Effects may be potentiated when used with other sedative drugs or ethanol. Special populations: • Slow metabolizers: Use with caution (incidence of side effects may be increased). Warnings: Additional Pediatric Considerations • Desloratadine may increase susceptibility to seizures in pediatric patients"
